t_s,r_amp
46.874,0.26909
46.894,-0.46545
46.916,-0.1035
46.952,0.07075
47.112,0.02767
47.148,0.04052
47.188,0.0128
47.208,0.00719
47.23,0.00755
47.268,0.01172
47.332,0.02507
47.388,0.03194
47.408,0.0013
47.488,0.06774
47.51,0.06756
47.562,0.3247
47.652,0.08931
47.832,0.0628
47.99,0.01869
48.048,0.02071
48.19,0.04892
48.208,0.04452
48.268,0.38261
48.348,0.10979
48.43,0.06285
48.532,0.06307
48.688,0.0088
48.728,0.00957
48.788,0.01442
48.93,0.04335
48.988,0.37573
49.03,-0.12048
49.068,0.1031
49.27,0.05903
49.33,-0.01375
49.39,0.00854
49.468,0.00845
49.65,0.03567
49.67,0.03697
49.688,0.03854
49.728,0.38831
49.808,0.11954
50.008,0.06496
50.126,0.01325
50.148,0.01779
50.21,0.01065
50.266,0.00678
50.368,0.04425
50.448,0.39047
50.526,0.11199
50.608,0.05624
50.708,0.03998
50.73,0.04151
50.808,-0.00988
50.83,-0.00584
50.848,-0.00728
50.95,0.00359
51.07,0.03419
51.108,0.02965
51.15,0.27857
51.192,-0.10188
51.23,0.08693
51.308,0.07412
51.388,0.02763
51.428,0.04528
51.528,0.01815
51.608,0.03482
51.648,0.0354
51.77,0.06424
51.788,0.05782
51.85,0.34469
51.89,-0.10094
51.928,0.09524
51.988,0.06357
52.008,0.05889
52.126,0.05647
52.208,0.00319
52.228,0.00606
52.288,0.0177
52.308,0.01613
52.328,0.01801
52.368,0.01348
52.508,0.046
52.53,0.03814
52.558,0.35273
52.596,-0.11554
52.648,0.1057
52.706,0.06038
52.726,0.05948
52.83,0.05368
52.968,0.01406
53.008,0.00094
53.028,0.00418
53.048,0.00413
53.068,0.00701
53.088,0.01249
53.206,0.03769
53.23,0.04155
53.248,0.04456
53.288,0.39932
53.328,-0.10894
53.368,0.1159
53.446,0.06047
53.468,0.05449
53.506,0.03396
53.548,0.05386
53.566,0.05629
53.686,0.01617
53.768,0.01038
53.788,0.01042
53.824,0.00921
53.95,0.03832
53.966,0.03688
53.988,0.0372
54.016,0.33476
54.108,0.0973
54.208,0.02803
54.268,0.01689
54.288,0.02754
54.308,0.02305
54.368,-0.0142
54.408,-0.01002
54.428,-0.00054
54.468,-0.00175
54.508,0.01469
54.528,0.01384
54.666,0.06307
54.688,0.05737
54.722,0.32632
54.806,0.09721
54.868,0.07947
54.948,0.04236
54.986,0.05413
55.068,0.01276
55.086,0.01851
55.144,0.02291
55.166,0.02498
55.186,0.02915
55.246,0.03145
55.368,0.05737
55.388,0.05588
55.426,0.35682
55.466,-0.1062
55.506,0.10224
55.586,0.05517
55.65,0.027
55.706,0.06321
55.808,0.00764
55.848,0.01289
55.866,0.00889
55.928,0.00894
55.946,0.00916
55.966,0.00939
56.004,-0.03095
56.084,0.04057
56.108,0.04191
56.126,0.03877
56.158,0.35812
56.248,0.10296
56.366,0.03306
56.426,0.06253
56.446,0.05782
56.566,0.00418
56.586,0.00418
56.628,-0.00216
56.644,-0.0027
56.666,-0.00103
56.688,-0.00117
56.708,-0.00207
56.728,-0.00247
56.75,-0.03562
56.846,0.04025
56.866,0.03747
56.906,0.3513
56.946,-0.12268
56.986,0.09007
57.044,0.05467
57.126,0.01725
57.184,0.03396
57.226,-0.00031
57.248,-0.00265
57.304,0.01123
57.328,0.01505
57.346,0.01276
57.368,0.01527
57.386,0.01721
57.406,0.02444
57.446,0.02031
57.566,0.04789
57.584,0.0487
57.608,0.04762
57.648,0.34627
57.69,-0.11267
57.726,0.09802
57.766,0.07614
57.784,0.06559
57.868,0.02215
57.906,0.03989
57.922,0.04151
57.986,0.00606
58.008,0.01181
58.028,0.01038
58.046,0.02242
58.086,0.02489
58.108,0.02516
58.146,0.02376
58.168,0.0239
58.226,0.00665
58.348,0.04555
58.366,0.0456
58.386,0.04411
58.416,0.35112
58.504,0.1057
58.566,0.06752
58.604,0.04366
58.686,0.05481
58.746,0.00202
58.768,-0.00364
58.788,0.00791
58.808,0.01024
58.824,0.01244
58.846,0.01316
58.884,0.00629
58.908,0.01181
58.946,0.00809
58.964,0.00701
59.002,-0.02668
59.088,0.03877
59.106,0.03953
59.158,0.26145
59.244,0.06213
59.284,0.04879
59.366,0.01222
59.386,0.00508
59.404,0.00427
59.426,0.01316
59.468,0.00737
59.504,0.01752
59.524,0.01712
59.548,0.02588
59.586,0.03019
59.626,0.03176
59.666,0.03616
59.704,0.02264
59.726,-0.00952
59.788,0.05085
59.806,0.0557
59.826,0.04968
59.844,0.04807
59.882,0.29537
59.922,-0.09106
59.966,0.09182
59.986,0.07583
60.026,0.06927
60.044,0.06424
60.104,0.02331
60.126,0.02727
60.166,0.04115
60.206,0.01756
60.228,0.01078
60.244,0.01181
60.266,0.01348
60.326,0.02821
60.344,0.02565
60.386,0.02839
60.406,0.02907
60.444,-0.01132
60.524,0.04798
60.566,0.03935
60.602,0.34483
60.642,-0.10741
60.686,0.09905
60.744,0.0659
60.766,0.065
60.844,0.03441
60.884,0.05094
60.968,0.0075
60.986,0.01608
61.004,0.0221
61.022,0.02331
61.064,0.01999
61.108,0.02183
61.168,0.01455
61.206,-0.03037
61.288,0.03567
61.306,0.04124
61.324,0.03922
61.364,0.3707
61.444,0.11842
61.526,0.06379
61.562,0.03845
61.606,0.02102
61.644,0.04313
61.766,0.01995
61.788,0.01851
61.824,0.00764
61.866,0.01155
61.884,0.00687
61.904,0.01015
61.922,0.00175
62.026,0.02857
62.066,0.03181
62.108,0.27439
62.15,-0.1026
62.188,0.07421
62.204,0.07277
62.248,0.0575
62.344,0.00988
62.384,0.03001
62.426,0.0102
62.446,0.01509
62.486,0.01945
62.546,0.0301
62.566,0.03037
62.584,0.023
62.604,0.02718
62.626,0.02929
62.646,0.02331
62.746,0.05732
62.784,0.05624
62.802,0.03913
62.834,0.31006
62.874,-0.10642
62.906,0.09003
62.966,0.06437
62.986,0.06127
63.064,0.03275
63.106,0.0509
63.122,0.04371
63.142,0.02331
63.166,0.01042
63.186,0.00993
63.246,0.02516
63.264,0.02902
63.324,0.02718
63.366,0.02691
63.406,0.01676
63.426,0.00898
63.446,-0.02641
63.506,0.02588
63.524,0.03899
63.548,0.03419
63.566,0.03432
63.606,0.37111
63.646,-0.10058
63.684,0.1044
63.726,0.08176
63.742,0.07026
63.764,0.06226
63.844,0.02008
63.888,0.0473
63.924,0.00809
63.944,-0.00288
64.044,0.03482
64.064,0.02525
64.084,0.0248
64.104,0.023
64.122,0.02183
64.146,0.01995
64.166,0.01608
64.186,0.00728
64.204,0.00341
64.226,-0.0248
64.346,0.04892
64.384,0.33957
64.424,-0.10548
64.466,0.08922
64.544,0.05036
64.608,0.00782
64.662,0.02695
64.706,0.00472
64.724,0.0
64.746,0.00863
64.786,0.02219
64.804,0.02147
64.824,0.01936
64.846,0.01204
64.886,0.02331
64.906,0.02008
64.964,-0.00076
65.066,0.04564
65.084,0.04295
65.106,0.04173
65.15,0.32389
65.19,-0.11662
65.224,0.09631
65.264,0.0703
65.286,0.05858
65.306,0.05782
65.386,0.01851
65.406,0.02677
65.424,0.04609
65.504,0.01438
65.526,0.01491
65.544,0.02646
65.586,0.03185
65.604,0.03374
65.622,0.03073
65.644,0.03432
65.664,0.03396
65.682,0.02219
65.704,0.02264
65.824,0.04928
65.844,0.05072
65.866,0.04919
65.882,0.04474
65.912,0.36459
65.952,-0.11716
65.986,0.1093
66.066,0.06357
66.106,0.03571
66.146,0.02197
66.166,0.03738
66.186,0.06244
66.204,0.05993
66.262,0.0
66.284,0.01042
66.326,0.02282
66.346,0.02264
66.364,0.02156
66.386,0.01172
66.422,0.019
66.446,0.00966
66.462,0.01312
66.504,-0.02659
66.586,0.04438
66.604,0.04092
66.624,0.04744
66.66,0.34532
66.74,0.10027
66.782,0.07623
66.804,0.06608
66.844,0.04802
66.884,0.00993
66.906,0.01599
66.942,0.0336
66.984,-0.00274
67.006,-0.00539
67.026,0.00022
67.066,0.00809
67.084,0.00975
67.124,0.0146
67.166,0.01707
67.186,0.01671
67.204,0.01455
67.302,0.0416
67.322,0.04726
67.384,0.30422
67.424,-0.09986
67.466,0.09043
67.524,0.06595
67.622,0.02156
67.662,0.03684
67.722,0.00961
67.744,0.01244
67.762,0.01725
67.786,0.01029
67.804,0.02161
67.824,0.01694
67.844,0.02606
67.886,0.02466
67.906,0.0274
67.922,0.02893
68.004,0.03477
68.024,0.04928
68.042,0.04632
68.064,0.05207
68.108,0.31733
68.148,-0.11177
68.186,0.10224
68.202,0.09223
68.282,0.06101
68.346,0.0212
68.384,0.05049
68.422,0.01774
68.442,0.01047
68.466,0.00714
68.484,0.01927
68.506,0.02713
68.544,0.02902
68.604,0.03005
68.622,0.02835
68.644,0.02646
68.746,0.04587
68.762,0.04524
68.78,0.04272
68.802,0.04052
68.83,0.34016
68.924,0.09775
68.962,0.07601
68.982,0.07277
69.044,0.0336
69.086,0.03917
69.104,0.05373
69.184,-0.00243
69.224,0.02031
69.242,0.01635
69.302,0.00809
69.324,0.01429
69.342,0.00997
69.362,0.01397
69.384,0.01096
69.484,0.04411
69.504,0.04092
69.524,0.04632
69.566,0.36724
69.606,-0.11294
69.644,0.11932
69.682,0.08657
69.782,0.03338
69.824,0.04919
69.844,0.05876
69.864,0.04811
69.904,-0.00036
69.924,0.004
69.944,0.01411
69.962,0.02408
69.982,0.02426
70.002,0.0274
70.046,0.00759
70.064,0.01685
70.082,0.01469
70.102,0.01671
70.124,0.01065
70.144,-0.00162
70.178,-0.04609
70.286,0.04528
70.3,0.0473
70.336,0.35525
70.422,0.10952
70.542,0.02331
70.56,0.01128
70.604,0.03234
70.644,0.02197
70.664,0.00126
70.682,0.00705
70.742,0.0097
70.782,0.01208
70.802,0.00153
70.826,0.00265
70.844,0.01375
70.862,0.01294
70.882,0.01024
70.902,-0.01276
70.982,0.04546
71.004,0.04438
71.022,0.03697
71.062,0.30408
71.104,-0.09923
71.146,0.07686
71.184,0.05732
71.202,0.05773
71.224,0.0535
71.242,0.04304
71.284,0.01887
71.304,0.01797
71.322,0.03005
71.342,0.04043
71.4,0.01909
71.424,0.02426
71.44,0.02246
71.462,0.02799
71.484,0.03522
71.504,0.04016
71.544,0.02785
71.562,0.03396
71.584,0.02911
71.606,0.02835
71.642,-0.01042
71.724,0.05409
71.762,0.04546
71.798,0.36432
71.84,-0.09959
71.882,0.11015
71.922,0.08005
71.94,0.06909
72.024,0.02556
72.042,0.03711
72.084,0.05957
72.142,0.00355
72.164,0.01074
72.204,0.02174
72.222,0.02246
72.302,0.01397
72.322,0.01402
72.344,0.0124
72.362,0.01002
72.402,-0.03306
72.482,0.04447
72.502,0.0478
72.522,0.04991
72.558,0.37142
72.642,0.10494
72.704,0.06433
72.72,0.05463
72.762,0.03414
72.782,0.02331
72.802,0.03482
72.844,0.05768
72.904,-0.00319
72.922,0.00364
72.944,0.01384
72.98,0.02376
73.004,0.01509
73.042,0.00993
73.084,0.008
73.104,0.00171
73.124,0.00319
73.14,0.00094
73.162,-0.0009
73.186,-0.03576
73.264,0.05049
73.282,0.04632
73.298,0.04816
73.344,0.34424
73.386,-0.12906
73.424,0.09326
73.48,0.05768
73.5,0.05593
73.542,0.02907
73.562,0.01181
73.584,0.01586
73.622,0.04632
73.684,0.00238
73.704,0.00669
73.722,0.00526
73.74,0.00521
73.762,0.01941
73.782,0.01545
73.804,0.00916
73.824,0.00382
73.86,0.01101
73.882,0.0106
73.92,-0.0221
74.006,0.0438
74.022,0.04757
74.042,0.03702
74.078,0.30727
74.12,-0.11693
74.164,0.08859
74.224,0.05782
74.24,0.0531
74.278,0.02331
74.302,0.01819
74.364,0.04043
74.42,0.00755
74.442,0.01545
74.464,0.13603
74.484,0.14851
74.502,0.14182
74.544,0.11136
74.6,0.07048
74.744,0.05382
74.76,0.04402
74.782,0.04205
74.826,0.35633
74.864,-0.13315
74.904,0.08679
74.962,0.05269
74.984,0.04703
75.0,0.0442
75.042,0.0208
75.1,0.0611
75.162,-0.02013
75.224,0.00889
75.24,0.00571
75.282,-0.00054
75.3,0.00099
75.32,0.00386
75.36,-0.00301
75.382,-0.00472
75.402,-0.00647
75.422,-0.04528
75.502,0.04366
75.52,0.04236
75.54,0.04007
75.578,0.37973
75.66,0.10692
75.72,0.07277
75.74,0.06074
75.76,0.04164
75.804,0.01137
75.842,0.05058
75.862,0.0495
75.92,-0.00467
75.94,-0.00238
75.962,0.00413
75.984,0.00934
76.0,0.00867
76.038,0.00288
76.062,0.01038
76.084,0.0049
76.22,0.02907
76.242,0.03131
76.264,0.02821
76.3,0.29141
76.342,-0.1035
76.382,0.07691
76.4,0.07026
76.5,0.01469
76.564,0.01999
76.582,0.02754
76.622,0.00827
76.64,0.00449
76.662,0.00872
76.682,0.01222
76.722,0.02174
