t_s,amp_uS
2410.624,0.036599999999999966
2410.644,0.03589999999999982
2410.662,0.035800000000000054
2410.682,0.036599999999999966
2410.702,0.03629999999999889
2410.722,0.036599999999999966
2410.742,0.03500000000000014
2410.762,0.03619999999999912
2410.782,0.036599999999999966
2410.804,0.03730000000000011
2410.822,0.036599999999999966
2410.842,0.03509999999999991
2410.864,0.03509999999999991
2410.884,0.03669999999999973
2410.904,0.036599999999999966
2410.924,0.03589999999999982
2410.944,0.03629999999999889
2410.962,0.034699999999999065
2410.984,0.036599999999999966
2411.004,0.03669999999999973
2411.024,0.036599999999999966
2411.044,0.03810000000000002
2411.062,0.04079999999999906
2411.082,0.036599999999999966
2411.104,0.036599999999999966
2411.122,0.03810000000000002
2411.144,0.03810000000000002
2411.164,0.03739999999999988
2411.184,0.036599999999999966
2411.204,0.036599999999999966
2411.224,0.03739999999999988
2411.244,0.039699999999999847
2411.264,0.03819999999999979
2411.282,0.03509999999999991
2411.304,0.03819999999999979
2411.322,0.036599999999999966
2411.344,0.039699999999999847
2411.364,0.039299999999999
2411.382,0.03509999999999991
2411.404,0.035800000000000054
2411.424,0.036599999999999966
2411.444,0.04039999999999999
2411.464,0.038899999999999935
2411.484,0.036599999999999966
2411.504,0.03819999999999979
2411.524,0.03810000000000002
2411.542,0.03509999999999991
2411.564,0.03819999999999979
2411.584,0.038899999999999935
2411.604,0.03819999999999979
2411.624,0.03819999999999979
2411.644,0.03739999999999988
2411.664,0.03669999999999973
2411.682,0.0343
2411.702,0.03930000000000078
2411.724,0.03509999999999991
2411.744,0.039699999999999847
2411.764,0.03810000000000002
2411.784,0.036599999999999966
2411.804,0.03819999999999979
2411.824,0.036599999999999966
2411.844,0.03730000000000011
2411.864,0.037799999999998946
2411.884,0.03669999999999973
2411.904,0.0411999999999999
2411.924,0.03509999999999991
2411.944,0.03700000000000081
2411.964,0.03819999999999979
2411.984,0.0411999999999999
2412.002,0.036599999999999966
2412.024,0.03810000000000002
2412.044,0.03810000000000002
2412.062,0.03619999999999912
2412.084,0.03810000000000002
2412.104,0.036599999999999966
2412.124,0.03739999999999988
2412.144,0.03819999999999979
2412.162,0.037799999999998946
2412.184,0.03669999999999973
2412.204,0.03589999999999982
2412.224,0.03930000000000078
2412.244,0.03810000000000002
2412.264,0.039699999999999847
2412.284,0.038899999999999935
2412.304,0.03960000000000008
2412.322,0.036300000000000665
2412.344,0.036599999999999966
2412.364,0.03670000000000151
2412.384,0.036599999999999966
2412.404,0.03509999999999991
2412.424,0.038899999999999935
2412.444,0.035800000000000054
2412.464,0.03669999999999973
2412.482,0.035800000000000054
2412.504,0.03819999999999979
2412.524,0.036599999999999966
2412.544,0.03810000000000002
2412.564,0.036599999999999966
2412.584,0.039699999999999847
2412.604,0.038899999999999935
2412.624,0.0411999999999999
2412.644,0.03810000000000002
2412.664,0.03930000000000078
2412.684,0.035800000000000054
2412.704,0.036599999999999966
2412.724,0.04039999999999999
2412.744,0.038600000000000634
2412.764,0.03999999999999915
2412.784,0.039699999999999847
2412.804,0.036599999999999966
2412.824,0.03810000000000002
2412.844,0.038899999999999935
2412.864,0.04039999999999999
2412.884,0.03819999999999979
2412.904,0.03810000000000002
2412.924,0.03730000000000011
2412.944,0.0411999999999999
2412.964,0.039699999999999847
2412.984,0.039699999999999847
2413.004,0.036599999999999966
2413.024,0.03810000000000002
2413.044,0.03810000000000002
2413.064,0.0411999999999999
2413.084,0.04039999999999999
2413.104,0.04049999999999976
2413.124,0.039699999999999847
2413.142,0.03739999999999988
2413.164,0.03810000000000002
2413.184,0.03810000000000002
2413.204,0.03960000000000008
2413.224,0.03810000000000002
2413.244,0.039699999999999847
2413.264,0.03780000000000072
2413.282,0.03669999999999973
2413.304,0.04049999999999976
2413.324,0.03819999999999979
2413.344,0.03819999999999979
2413.364,0.03960000000000008
2413.384,0.03960000000000008
2413.404,0.03970000000000162
2413.424,0.03509999999999991
2413.444,0.03810000000000002
2413.464,0.036599999999999966
2413.482,0.036599999999999966
2413.504,0.03819999999999979
2413.524,0.03780000000000072
2413.544,0.03819999999999979
2413.564,0.035800000000000054
2413.584,0.03999999999999915
2413.602,0.03810000000000002
2413.622,0.03810000000000002
2413.644,0.038899999999999935
2413.664,0.03810000000000002
2413.684,0.036599999999999966
2413.704,0.036599999999999966
2413.722,0.036999999999999034
2413.742,0.035800000000000054
2413.764,0.03509999999999991
2413.784,0.039699999999999847
2413.804,0.039699999999999847
2413.824,0.03700000000000081
2413.844,0.03810000000000002
2413.862,0.036599999999999966
2413.884,0.039699999999999847
2413.904,0.03739999999999988
2413.924,0.039699999999999847
2413.944,0.03669999999999973
2413.964,0.03669999999999973
2413.984,0.03780000000000072
2414.002,0.03819999999999979
2414.022,0.03509999999999991
2414.042,0.03359999999999985
2414.064,0.036599999999999966
2414.084,0.03810000000000002
2414.104,0.036599999999999966
2414.124,0.03810000000000002
2414.144,0.036599999999999966
2414.164,0.03669999999999973
2414.182,0.03669999999999973
2414.204,0.03669999999999973
2414.222,0.03359999999999985
2414.242,0.03669999999999973
2414.264,0.036599999999999966
2414.284,0.03849999999999909
2414.304,0.03589999999999982
2414.324,0.03509999999999991
2414.342,0.036599999999999966
2414.364,0.036599999999999966
2414.382,0.038899999999999935
2414.402,0.03500000000000014
2414.422,0.039699999999999847
2414.442,0.03509999999999991
2414.462,0.03810000000000002
2414.484,0.036599999999999966
2414.504,0.036599999999999966
2414.522,0.03810000000000002
2414.542,0.03509999999999991
2414.564,0.036599999999999966
2414.584,0.03509999999999991
2414.602,0.03509999999999991
2414.622,0.03509999999999991
2414.642,0.03509999999999991
2414.662,0.033500000000000085
2414.684,0.03589999999999982
2414.704,0.03509999999999991
2414.722,0.035800000000000054
2414.742,0.036599999999999966
2414.762,0.03509999999999991
2414.784,0.0362000000000009
2414.804,0.037700000000000955
2414.824,0.03810000000000002
2414.844,0.036599999999999966
2414.862,0.03589999999999982
2414.884,0.03660000000000174
2414.904,0.03930000000000078
2414.922,0.03819999999999979
2414.944,0.03739999999999988
2414.962,0.036599999999999966
2414.984,0.03819999999999979
2415.002,0.03509999999999991
2415.024,0.03509999999999991
2415.042,0.03589999999999982
2415.064,0.03509999999999991
2415.084,0.03549999999999898
2415.104,0.03930000000000078
2415.124,0.038899999999999935
2415.142,0.03509999999999991
2415.164,0.03509999999999991
2415.182,0.03359999999999985
2415.204,0.03509999999999991
2415.222,0.03669999999999973
2415.242,0.03819999999999979
2415.264,0.03819999999999979
2415.282,0.03509999999999991
2415.302,0.036599999999999966
2415.324,0.036599999999999966
2415.344,0.03589999999999982
2415.364,0.0362000000000009
2415.384,0.03810000000000002
2415.402,0.036599999999999966
2415.424,0.036599999999999966
2415.444,0.0411999999999999
2415.464,0.03669999999999973
2415.484,0.03669999999999973
2415.504,0.03739999999999988
2415.524,0.03509999999999991
2415.544,0.036599999999999966
2415.564,0.03999999999999915
2415.584,0.036999999999999034
2415.604,0.03589999999999982
2415.624,0.036599999999999966
2415.644,0.03669999999999973
2415.664,0.03730000000000011
2415.684,0.03669999999999973
2415.704,0.04039999999999999
2415.724,0.037700000000000955
2415.744,0.035800000000000054
2415.762,0.036999999999999034
2415.784,0.036599999999999966
2415.804,0.03810000000000002
2415.822,0.039699999999999847
2415.844,0.03509999999999991
2415.862,0.03359999999999985
2415.884,0.039699999999999847
2415.902,0.036999999999999034
2415.924,0.038600000000000634
2415.944,0.03819999999999979
2415.962,0.036599999999999966
2415.984,0.03819999999999979
2416.004,0.039699999999999847
2416.024,0.03509999999999991
2416.044,0.0411999999999999
2416.064,0.036599999999999966
2416.084,0.03960000000000008
2416.104,0.03960000000000008
2416.122,0.038600000000000634
2416.144,0.040099999999998914
2416.164,0.03589999999999982
2416.182,0.03500000000000014
2416.204,0.036599999999999966
2416.222,0.03819999999999979
2416.244,0.038899999999999935
2416.264,0.04039999999999999
2416.284,0.03920000000000101
2416.304,0.03810000000000002
2416.324,0.03730000000000011
2416.344,0.03810000000000002
2416.364,0.036599999999999966
2416.384,0.039699999999999847
2416.404,0.03810000000000002
2416.424,0.03920000000000101
2416.444,0.039699999999999847
2416.464,0.03819999999999979
2416.484,0.039699999999999847
2416.504,0.03819999999999979
2416.524,0.03810000000000002
2416.544,0.036599999999999966
2416.564,0.03810000000000002
2416.584,0.04039999999999999
2416.604,0.039699999999999847
2416.624,0.039699999999999847
2416.644,0.036599999999999966
2416.664,0.039699999999999847
2416.684,0.036599999999999966
2416.704,0.03810000000000002
2416.724,0.03819999999999979
2416.744,0.039699999999999847
2416.764,0.03509999999999991
2416.782,0.03509999999999991
2416.804,0.03780000000000072
2416.824,0.040800000000000836
2416.844,0.039699999999999847
2416.864,0.039699999999999847
2416.884,0.036599999999999966
2416.904,0.03810000000000002
2416.924,0.03930000000000078
2416.942,0.03509999999999991
2416.964,0.03739999999999988
2416.984,0.03810000000000002
2417.004,0.039699999999999847
2417.024,0.0343
2417.044,0.040099999999998914
2417.064,0.039699999999999847
2417.084,0.03819999999999979
2417.104,0.03739999999999988
2417.122,0.03849999999999909
2417.142,0.036599999999999966
2417.162,0.036599999999999966
2417.184,0.0411999999999999
2417.204,0.0411999999999999
2417.224,0.0362000000000009
2417.244,0.03669999999999973
2417.264,0.03810000000000002
2417.284,0.036599999999999966
2417.302,0.03810000000000002
2417.324,0.03810000000000002
2417.344,0.039699999999999847
2417.364,0.0411999999999999
2417.384,0.040099999999998914
2417.404,0.03819999999999979
2417.422,0.03669999999999973
2417.442,0.03819999999999979
2417.464,0.0411999999999999
2417.484,0.03819999999999979
2417.504,0.038899999999999935
2417.524,0.039699999999999847
2417.542,0.036599999999999966
2417.564,0.03810000000000002
2417.584,0.038899999999999935
2417.604,0.036599999999999966
2417.622,0.038899999999999935
2417.644,0.03810000000000002
2417.664,0.03810000000000002
2417.684,0.03549999999999898
2417.704,0.03739999999999988
2417.724,0.03819999999999979
2417.744,0.04039999999999999
2417.762,0.03619999999999912
2417.784,0.038899999999999935
2417.804,0.03819999999999979
2417.824,0.036599999999999966
2417.842,0.036599999999999966
2417.864,0.036599999999999966
2417.884,0.03930000000000078
2417.904,0.038899999999999935
2417.924,0.03810000000000002
2417.944,0.03739999999999988
2417.964,0.03819999999999979
2417.984,0.036599999999999966
2418.002,0.03629999999999889
2418.024,0.03810000000000002
2418.044,0.039299999999999
2418.064,0.040000000000000924
2418.084,0.03739999999999988
2418.104,0.03810000000000002
2418.124,0.04010000000000069
2418.142,0.03739999999999988
2418.164,0.04049999999999976
2418.184,0.03500000000000014
2418.204,0.03930000000000078
2418.224,0.036599999999999966
2418.244,0.036999999999999034
2418.262,0.03849999999999909
2418.284,0.036999999999999034
2418.304,0.036999999999999034
2418.324,0.036999999999999034
2418.342,0.036599999999999966
2418.364,0.03739999999999988
2418.384,0.036599999999999966
2418.404,0.036599999999999966
2418.424,0.03730000000000011
2418.442,0.03819999999999979
2418.462,0.03500000000000014
2418.484,0.039699999999999847
2418.504,0.036599999999999966
2418.522,0.03500000000000014
2418.542,0.033500000000000085
2418.564,0.03960000000000008
2418.584,0.036599999999999966
2418.604,0.03810000000000002
2418.624,0.037700000000000955
2418.644,0.0362000000000009
2418.664,0.03810000000000002
2418.684,0.03810000000000002
2418.702,0.036599999999999966
2418.724,0.03819999999999979
2418.742,0.039699999999999847
2418.764,0.03619999999999912
2418.782,0.0362000000000009
2418.804,0.0343
2418.822,0.036599999999999966
2418.844,0.03739999999999988
2418.864,0.0362000000000009
2418.884,0.03549999999999898
2418.902,0.03359999999999985
2418.922,0.03589999999999982
2418.942,0.03509999999999991
2418.962,0.03739999999999988
2418.982,0.03509999999999991
2419.004,0.036999999999999034
2419.024,0.03819999999999979
2419.042,0.03589999999999982
2419.062,0.039699999999999847
2419.084,0.03669999999999973
2419.104,0.03549999999999898
2419.124,0.03509999999999991
2419.144,0.0343
2419.164,0.036300000000000665
2419.184,0.03509999999999991
2419.204,0.036599999999999966
2419.224,0.03669999999999973
2419.242,0.03669999999999973
2419.264,0.036599999999999966
2419.284,0.03810000000000002
2419.302,0.03509999999999991
2419.322,0.0362000000000009
2419.344,0.03470000000000084
2419.362,0.03509999999999991
2419.382,0.036599999999999966
2419.402,0.036599999999999966
2419.422,0.036599999999999966
2419.442,0.03509999999999991
2419.462,0.03509999999999991
2419.484,0.035800000000000054
2419.502,0.036599999999999966
2419.522,0.03509999999999991
