t_s,bpm
940.668,3333.3333333333335
940.686,3333.3333333333335
940.708,2727.2727272727275
940.728,3000.0
940.748,3000.0
940.79,1428.5714285714284
940.81,3000.0
940.826,3750.0
940.846,3000.0
940.866,3000.0
940.888,2727.2727272727275
940.91,2727.2727272727275
940.928,3333.3333333333335
940.948,3000.0
940.968,3000.0
940.99,2727.2727272727275
941.01,3000.0
941.03,3000.0
941.05,3000.0
941.068,3333.3333333333335
941.088,3000.0
941.108,3000.0
941.13,2727.2727272727275
941.146,3750.0
941.168,2727.2727272727275
941.19,2727.2727272727275
941.208,3333.3333333333335
941.228,3000.0
941.248,3000.0
941.268,3000.0
941.288,3000.0
941.308,3000.0
941.328,3000.0
941.352,2500.0
941.368,3750.0
941.388,3000.0
941.41,2727.2727272727275
941.45,1500.0
941.472,2727.2727272727275
941.488,3750.0
941.51,2727.2727272727275
941.528,3333.3333333333335
941.548,3000.0
941.57,2727.2727272727275
941.588,3333.3333333333335
941.608,3000.0
941.628,3000.0
941.648,3000.0
941.668,3000.0
941.69,2727.2727272727275
941.708,3333.3333333333335
941.728,3000.0
941.75,2727.2727272727275
941.768,3333.3333333333335
941.788,3000.0
941.81,2727.2727272727275
941.828,3333.3333333333335
941.848,3000.0
941.854,10000.0
941.868,4285.714285714285
941.888,3000.0
941.91,2727.2727272727275
941.928,3333.3333333333335
941.946,3333.3333333333335
941.97,2500.0
941.99,3000.0
942.01,3000.0
942.028,3333.3333333333335
942.048,3000.0
942.068,3000.0
942.088,3000.0
942.11,2727.2727272727275
942.132,2727.2727272727275
942.148,3750.0
942.168,3000.0
942.188,3000.0
942.21,2727.2727272727275
942.228,3333.3333333333335
942.25,2727.2727272727275
942.27,3000.0
942.286,3750.0
942.308,2727.2727272727275
942.328,3000.0
942.35,2727.2727272727275
942.37,3000.0
942.39,3000.0
942.408,3333.3333333333335
942.426,3333.3333333333335
942.448,2727.2727272727275
942.468,3000.0
942.49,2727.2727272727275
942.508,3333.3333333333335
942.526,3333.3333333333335
942.548,2727.2727272727275
942.57,2727.2727272727275
942.586,3750.0
942.61,2500.0
942.628,3333.3333333333335
942.648,3000.0
942.668,3000.0
942.69,2727.2727272727275
942.712,2727.2727272727275
942.73,3333.3333333333335
942.772,1428.5714285714284
942.794,2727.2727272727275
942.808,4285.714285714285
942.828,3000.0
942.85,2727.2727272727275
942.87,3000.0
942.89,3000.0
942.91,3000.0
942.93,3000.0
942.952,2727.2727272727275
942.97,3333.3333333333335
942.99,3000.0
943.008,3333.3333333333335
943.03,2727.2727272727275
943.05,3000.0
943.07,3000.0
943.092,2727.2727272727275
943.114,2727.2727272727275
943.128,4285.714285714285
943.15,2727.2727272727275
943.168,3333.3333333333335
943.19,2727.2727272727275
943.206,3750.0
943.228,2727.2727272727275
943.25,2727.2727272727275
943.268,3333.3333333333335
943.29,2727.2727272727275
943.31,3000.0
943.33,3000.0
943.352,2727.2727272727275
943.388,1666.6666666666667
943.408,3000.0
943.43,2727.2727272727275
943.452,2727.2727272727275
943.47,3333.3333333333335
943.49,3000.0
943.51,3000.0
943.528,3333.3333333333335
943.546,3333.3333333333335
943.568,2727.2727272727275
943.586,3333.3333333333335
943.608,2727.2727272727275
943.63,2727.2727272727275
943.648,3333.3333333333335
943.668,3000.0
943.692,2500.0
943.71,3333.3333333333335
943.73,3000.0
943.75,3000.0
943.77,3000.0
943.788,3333.3333333333335
943.81,2727.2727272727275
943.828,3333.3333333333335
943.848,3000.0
943.868,3000.0
943.89,2727.2727272727275
943.912,2727.2727272727275
943.93,3333.3333333333335
943.948,3333.3333333333335
943.972,2500.0
943.992,3000.0
944.01,3333.3333333333335
944.032,2727.2727272727275
944.074,1428.5714285714284
944.094,3000.0
944.108,4285.714285714285
944.128,3000.0
944.15,2727.2727272727275
944.168,3333.3333333333335
944.19,2727.2727272727275
944.208,3333.3333333333335
